ItemPurchasedText,Items Purchased:
EnterPriceTitle,รายการราคา
CancelTransactionGenericTitle,ยกเลิก Transaction
CancelTransactionGenericLeadthru,"แตะ ""ใช่"" เพื่อยกเลิกธุรกรรมหรือแตะ ""ไม่"" เพื่อทำธุรกรรมต่อ"
YesButtonText,ใช่
NoButtonText,ไม่
ConfirmSuspendTitle,ระงับ:
ConfirmSuspendLeadthru,ยืนยันการระงับ.
ConfirmSuspendButtonText,ยืนยันการระงับ
IncorrectItemWeightTitle,น้ำหนักบนเครื่องชั่งแบบนิรภัยไม่ถูกต้อง
IncorrectItemWeightLeadthru,"Remove item and touch ""ล้างการรักษาความปลอดภัย"", or touch ""อนุมัติและอัพเดตน้ำหนัก""."
ApproveUpdateButtonText,อนุมัติและอัพเดตน้ำหนัก
UnexpectedIncreaseTitle,Unexpected item on security scale.
UnexpectedIncreaseLeadthru,"Go to lane, remove extra items and touch ""ล้างการรักษาความปลอดภัย""."
SkipBaggingBtnThresholdLeadthru,"Check items at lane and touch ""ล้างการรักษาความปลอดภัย""."
NewWeightItemTitle,No record of item weight.
NewWeightItemLeadthru,"ตรวจสอบน้ำหนักสินค้าแล้วแตะที่ปุ่ม ""อนุมัติและอัพเดตน้ำหนัก"" หรือแตะที่ปุ่ม ""อนุมัติ/ไม่อัพเดต"""
ApproveNoUpdateButtonText,อนุมัติ/ไม่อัพเดต.
BagItemTimerExpiredTitle,น้ำหนักบนเครื่องชั่งแบบนิรภัยที่คาดไว้
TakeChangeTimerExpiredTitle,รับเงินทอน
TakeChangeTimerExpiredBottomCaption,หมดเวลา
PickingUpItemsTimerExpiredTitle,สินค้ายังไม่ส่งคืนส่วนนำสินค้าใส่ถุง
DeviceFailureTitle,Device Malfunction
DeviceFailureLeadthru,Go to lane and check device.
WLDBFailureTitle,WLDB not communicating correctly.
WLDBFailureLeadthru,Check the communication.
UnexpectedDecreaseTitle,สินค้าที่นำออกจากส่วนนำสินค้าใส่ถุง
ClosedLaneTitle,ไปที่ช่องจ่ายเงินแล้วเข้าสู่ระบบโหมดร้านค้าเพื่อเปิดช่องจ่ายเงิน
ClosedLaneLeadthru,ช่องจ่ายเงินปิดอยู่
BagAreaBackupTitle,สินค้าที่สำรองไว้บนสายพาน
BagAreaBackupLeadthru,นำสินค้าที่สำรองไว้ออกจากสายพาน
MinimumAgeText,อายุขั้นต่ำ.
SafetyCoverOpenLeadthru,Remove all items from belt and close safety cover.
VerifySignatureLeadthru,เปรียบเทียบลายมือชื่อของลูกค้ากับลายมือชื่อบนบัตร
AssistedTenderTitle,การชำระเงินที่มีความช่วยเหลือของผู้ดำเนินการ
AssistedTenderLeadthru,ใช้โหมดช่วยเหลือเพื่อยอมรับเช็คจากลูกค้า %s
AssistedTenderHHLeadthru,Use the Attendant Station to accept payment.
AssistedEndorsementLeadthru,ต้องมีการสลักหลัง โปรดรอความช่วยเหลือจากผู้ดำเนินการ
StartTransactionButtonText,เริ่มธุรกรรม
StartTransactionTitle,ฟังก์ชั่นที่มีความช่วยเหลือของผู้ดำเนินการ
StartTransactionLeadthru,เลือกฟังก์ชั่นที่ต้องการ.
StartTransactionAMButtonText,Start & Assist
ItemsForgottenTitle,น้ำหนักที่เหลืออยู่บน bag scale.
InsertCouponTimerExpiredTitle,ใส่คูปอง
CollectGiftCardTitle,สะสมบัตรของขวัญ
HostOfflineLeadthru,ช่องจ่ายเงินออฟไลน์อยู่ในขณะนี้และระบบกำลังพยายามเชื่อมต่อใหม่
SpaceButtonText,ถอยหลัง
LaneReceiptItemType1,%s\t%s
LaneReceiptItemType2,%s
LaneReceiptItemType3,%s\t%s\tปริมาณ %s @ %s/แต่ละ\t%s
LaneReceiptItemType4,%s\t%s\tปริมาณ %s @ %s/%s\t%s
LaneReceiptItemType5,%s\t%s\t%ss @ %s %s/%s\t%s
LaneReceiptItemType6,%s\t%s\t%ss @ %s/%s\t%s
CloseLaneButtonText,ปิดช่องจ่ายเงิน
ReportingButtonText,กำลังรายงาน
KeyInCodeTitle,ใส่รหัส
KeyInCodeLeadthru,"ใส่รหัสสินค้า and touch ""OK""."
VoidItemButtonText,ยกเลิกสินค้า
ChangePriceButtonText,เปลี่ยนราคา
ChangeQuantityButtonText,เปลี่ยนปริมาณ
ReturnToShoppingButtonText,กลับไปที่โหมดซื้อสินค้า
BasicAssistModeTitle,ฟังก์ชั่นช่วยเหลือ
BasicAssistModeLeadthru,สแกนสินค้า or select function.
ChangePriceTitle,เปลี่ยนราคา
KeyInPriceLeadthru,Key in price for: %d %s
VoidAllButtonText,ยกเลิกทั้งหมด
VoidItemTitle,ยกเลิกสินค้า
VoidItemLeadthru,"Scan or scroll to item on receipt and touch ""ยกเลิกสินค้า"" or ""ยกเลิกทั้งหมดl""."
ChangeQuantityTitle,เปลี่ยนปริมาณ
KeyInQuantityLeadthru,Key in quantity for: %s
FullAssistButtonText,Full Assist
CloseButtonText,ปิด
UpdateItemLeadthru,"Scroll to item on receipt and touch ""ป้อน""."
OKButtonText,OK
CouponNoMatchLeadthru,คูปองไม่ตรงกับสินค้าที่ซื้อ ไม่สามารถรับคูปองนี้
CouponTooHighLeadthru,จำนวนที่คุณป้อนสำหรับคูปองนี้สูงเกินไป ระบบนี้ไม่สามารถรับคูปองนี้ได้
EnterCouponValueLeadthru,"ป้อนมูลค่าของคูปองเป็นเซนต์ แล้วแตะ ""ป้อน"""
ItemQuantityExceededLeadthru,เกินปริมาณที่อนุญาตสำหรับสินค้านี้ โปรดแยกออกแล้วดำเนินการต่อ
ProcessingLeadthru,กำลังประมวลผล...โปรดรอ.
VoidNoMatchLeadthru,ไม่พบสินค้าที่สแกนแล้ว ยังไม่ได้ซื้อสินค้านี้ หรือยกเลิกแล้ว
ConfirmAbortLeadthru,คุณต้องการ หยุดการชำระเงินแล้วยกเลิกการซื้อทั้งหมด?
ContinueTransLeadthru,คุณต้องการดำเนินการซื้อต่อหรือไม่?
ConfirmQuantityTitle,ยืนยันปริมาณ
ConfirmVoidTitle,Confirm ยกเลิก
CouponNoMatchTitle,คูปองไม่ตรง
CouponTooHighTitle,คูปองสูงเกินไป
CrateableItemTitle,ซื้อลัง
EnterCouponValueTitle,ป้อนมูลค่าคูปอง
EnterQuantityLeadthru,"ใส่ปริมาณแล้วแตะ ""ป้อน""."
EnterWeightTitle,ชั่งน้ำหนักสินค้า
EnterWeightLeadthru,Go to the lane and place item on scale.
AMItemQuantityExceededTitle,ขีดจำกัดปริมาณ
ProcessingTitle,กำลังประมวลผล...
SelectContainerTitle,เลือกบรรจุภัณฑ์
SelectContainerLeadthru,"เลือกบรรจุภัณฑ์จากรายการ and touch ""ป้อน""."
VoidNoMatchTitle,ไม่สามารถยกเลิกสินค้า
ConfirmAbortTitle,ยกเลิกสินค้าทั้งหมด
ContinueTransTitle,ดำเนินการต่อ?
ScaleBrokenTitle,รีเซ็ตเครื่องชั่ง
ScaleBrokenLeadthru,"นำสินค้าออกจากเครื่องชั่ง และ "">0<"" บนเครื่องสแกน"
UpdateNotAllowedTitle,Cannot อัพเดต รายการ
UpdateNotAllowedLeadthru,Quantity change for weighed item is not allowed.
SmEnterBirthdateTitle,สินค้าที่จำกัด
SmEnterBirthdateLeadthru,"Key in customer's birth date"
SmVisualItemsTitle,การตรวจสอบด้วยตา
SmVisualItemsLeadthru,Approve Visual Validation Items
SmCouponItemsTitle,อนุมัติคูปองที่ใช้
SmCouponItemsLeadthru,ตรวจสอบคูปองที่ใช้
SmRestrictedItemsTitle,สินค้าที่จำกัด
SmRestrictedItemsLeadthru,เลือกฟังก์ชั่นที่ต้องการ.
KeyInBirthDateButtonText,Key in date
KeyInCodeButtonText,ใส่รหัส
SmRunReportsTitle,เนื้อหารายงาน
PrintReportButtonText,พิมพ์รายงาน
LaneReceiptItemType7,    %s
AM_RestrictedNotAllowedTitle,สินค้าที่จำกัด
AM_RestrictedNotAllowedLeadthru,ยกเลิกสินค้าที่จำกัดแล้ว - ข้อจำกัดด้านอายุไม่ตรง โปรดแยกสินค้าออก
TransactionCancelTitle,การยกเลิกธุรกรรม
TransactionCancelLeadThru,Transaction cancelled. Remove items from \ncheckstand.
OutOfSyncNeedAssistTitle,ช่วยเหลือ
OutOfSyncNeedAssistLeadthru,POS ไม่ซิงค์ โปรดไปที่โหมดช่วยเหลือเพื่อซิงโครไนซ์ใหม่
OutOfSyncStopTitle,รีบูต
OutOfSyncStopLeadthru,เซิร์ฟเวอร์ POS ขัดข้องหรือไม่ซิงค์ โปรดปิดการทำงานเครื่องโดยใช้สวิตช์
MultiPackItemTitle,Check for multi-pack
MultiPackItemLeadthru,"If item is a multi-pack, touch ""โหมดช่วยเหลือ"" and void it, then scan multi-pack barcode."
CancelActionButtonText,ยกเลิก Action
EnterIDFpLeadthru,"ใส่ ID ผู้ใช้ของคุณ แล้วแตะที่ปุ่ม ""ป้อน"", หรือวางนิ้วของคุณบนเครื่องอ่านลายนิ้วมือเพื่อเข้าสู่ระบบ"
ReEnterIDFpLeadthru,การเข้าสู่ระบบไม่ถูกต้อง โปรดเข้าสู่ระบบอีกครั้งโดยใช้แผงปุ่มกดหรือลายนิ้วมือของคุณ
HH_SuspendLeadthru1,Suspend current transaction? Confirm or Cancel.
HH_SuspendLeadthru2,"Current transaction suspended. Confirm. To cancel, touch ""กลับไป"" and cancel."
HH_ReEnterIDLeadthru,Incorrect ID or password. Please re-enter on keypad.
HH_CheckAgeLeadthru,"ใส่วันเกิด %s and touch ""ป้อน""."
HH_CouponLimitExceededLeadthru,"""Approve"" for coupons at lane or ""Approve & Collect"" to collect from customer."
HH_VisualApproveLeadthru,"""Visual Approve"", or ""โหมดช่วยเหลือ"" to modify transaction."
HH_VisualApproveLeadthru2,"""Visual Approve"", or ""โหมดช่วยเหลือ"" at Lane to modify."
HH_UnknownItemLeadthru,"Collect item, ""ล้างการรักษาความปลอดภัย"", or ""โหมดช่วยเหลือ"" to complete."
HH_UnknownItemLeadthru2,"Collect item, ""ล้างการรักษาความปลอดภัย"", or use ""โหมดช่วยเหลือ"" at Lane to complete."
HH_ItemNotForSaleLeadthru,"Collect item at lane and ""ล้างการรักษาความปลอดภัย""."
HH_NoInterventionLeadthru,No Intervention is required.
HH_OffLineLeadthru,ช่องจ่ายเงินออฟไลน์อยู่ในขณะนี้และระบบกำลังพยายามเชื่อมต่อใหม่
HH_InvalidBirthDateFormatLeadthru,Date format is invalid \nEnter in %s format.
HH_VoidLeadthru,"Collect voided item and ""อนุมัติการยกเลิก""."
HH_SuspendTransactionLeadthru,"Touch ""Suspend Trans"" to suspend transaction."
HH_DeactivateLeadthru,"Deactivate item or remove hard tag and ""ล้างการรักษาความปลอดภัย""."
HH_CompareSignatureLeadthru,"Compare signatures and ""Approve"", or ""Sign Again""."
HH_EnterPriceLeadthru,"Key in item's price and ""ป้อน""."
HH_CouponApprovalLeadthru,"Accept coupons from customer and ""Approve""."
HH_HelpRequestLeadthru,"""ยกเลิกการร้องขอ"" after helping customer."
HH_CancelTransactionGenericLeadthru,"แตะ ""ใช่"" เพื่อยกเลิกธุรกรรมหรือแตะ ""ไม่"" เพื่อทำธุรกรรมต่อ"
HH_IncorrectItemWeightLeadthru,"Remove item and ""ล้างการรักษาความปลอดภัย"", or ""อนุมัติและอัพเดตน้ำหนัก""."
HH_UnexpectedIncreaseLeadthru,"Remove extra items at lane and ""ล้างการรักษาความปลอดภัย""."
HH_SkipBaggingBtnThresholdLeadthru,"Check items at lane and ""ล้างการรักษาความปลอดภัย""."
HH_NewWeightItemLeadthru,"ตรวจสอบน้ำหนักสินค้าแล้วแตะที่ปุ่ม ""อนุมัติและอัพเดตน้ำหนัก"" หรือแตะที่ปุ่ม ""อนุมัติ/ไม่อัพเดต"""
HH_SafetyCoverOpenLeadthru,Remove all items from belt. Close safety cover.
HH_VerifySignatureLeadthru,"Compare customer's signature with one on card."
HH_AssistedEndorsementLeadthru,Endorsement Needed. Wait for operator assistance.
HH_HostOfflineLeadthru,ช่องจ่ายเงินออฟไลน์อยู่ในขณะนี้และระบบกำลังพยายามเชื่อมต่อใหม่
HH_KeyInCodeLeadthru,"ใส่รหัสสินค้า and ""ป้อน""."
HH_VoidItemLeadthru,"Scan or scroll to item on receipt. ""ยกเลิกสินค้า"" or ""ยกเลิกทั้งหมด""."
HH_UpdateItemLeadthru,"Scroll to item on receipt and ""ป้อน""."
HH_CouponNoMatchLeadthru,Coupon does not match any item on receipt. Coupon not accepted.
HH_CouponTooHighLeadthru,จำนวนที่คุณป้อนสำหรับคูปองนี้สูงเกินไป\nระบบนี้ไม่สามารถรับคูปองนี้ได้
