AmountSaved,Amount Saved
ScotApp_1635,"Check cable to Note Recycler and Retry.   If error recurs, call for service.\n\nSafePay Error: %s"
ScotApp_1557,Dispenser Pickup
ScotApp_734,734unused
ScotApp_634,634unused
ScotApp_534,Time Restricted Items
ScotApp_1413,Please finish your transaction in the next # minute(s).  A power disconnection may occur soon.
ScotApp_334,Card reader no card error
ScotApp_234,Remove note cassette.\n\nRemove notes from cassette.\n\nRe-insert cassette until it is latched into position.\n\nPull on cassette handle to ensure latch is holding cassette in position.
ScotApp_1569,Value
ScotApp_1801,Mode of Operation
ScotApp_934,Weight Increase
ScotApp_1622,Cassette
ScotApp_768,Suspend Confirmation
ScotApp_668,Signature Printing Successful.
ScotApp_1347,Attempting reconnect
ScotApp_1778,Clear Security
ScotApp_168,Scan your coupons and put them aside until end of purchase.
ScotApp_1203,ENDORSED DOCUMENT
ScotApp_1634,Cable Problem
ScotApp_1556,Acceptor Pickup
ScotApp_1412,Assist Functions
ScotApp_1783,SAFETY COVER OPEN
ScotApp_1232,APPROVED SIGNATURE
ScotApp_1568,Grand Total :        %s
ScotApp_1800,Select Mode of Operation
ScotApp_1495,Please refer to the Device Manual to fix the error.
ScotApp_1621,Unlock Note Cassette
ScotApp_1346,The Lane is offline and the system is attempting to reconnect.
ScotApp_72,72unused
ScotApp_62,Yes
ScotApp_52,Cancel Coupons
ScotApp_42,Voided Items
ScotApp_32,Continue
ScotApp_12,  Qty %d @ %s/each
ScotApp_1411,Change Quantity
ScotApp_92,Welcome!
ScotApp_82,82unused
ScotApp_1807,_ _ _
ScotApp_1089,End Report Period
ScotApp_1620,Unlock Note Cover
ScotApp_1345,Security Manager ending...
ScotApp_1819,Coin Recycler Acceptor Errors
ScotApp_762,762unused
ScotApp_662,%
ScotApp_1554,Acceptor	
ScotApp_462,Remote Approval loaded.
ScotApp_362,Enter Password
ScotApp_262,262unused
ScotApp_162,Scan your items and coupons.
ScotApp_1410,Change Price
ScotApp_962,"Collect voided item at lane and then touch ""Approve Void""."
ScotApp_862,Coupon Value Entry:
ScotApp_1806,"\n* Touch ""Cards Only"" to end the transaction and manually give the change to the customer."
ScotApp_1088,1088unused
ScotApp_1627,Coin/Note Recycler Error
ScotApp_741,741unused
ScotApp_641,  Avg.Wt.   Approved    Tally     Tol.Type     Tol.Value     Date
ScotApp_541,Print Operator Scan Barcode
ScotApp_441,Confirm Amount
ScotApp_341,341unused
ScotApp_241,Device Manager unexpected error
ScotApp_141,Select Card Type
ScotApp_941,Voided Item
ScotApp_841,Item Entry
ScotApp_1873,1873unused
ScotApp_25,Birth date:
ScotApp_720,720unused
ScotApp_520,Unknown Item Code
ScotApp_420,420unused
ScotApp_320,Go Back
ScotApp_220,* Open printer cabinet door.\n* Open printer cover to check for jams.\n* Load new roll of paper into printer.\n* Close and lock printer cabinet door.
ScotApp_120,Transaction cancelled. Remove
ScotApp_1626,Insert cash to replenish or select other function.
ScotApp_1423,The Handheld Scanner is attempting to connect.
ScotApp_920,Approve/No Update.
ScotApp_820,Approve Void
ScotApp_1757,"To add an accent, touch an ""Accent"" key at the bottom of the screen then type the letter."
ScotApp_1872,1872unused
ScotApp_754,Previous 7 Days Summary
ScotApp_554,Do not swipe charge cards at this time.
ScotApp_1613,Reject Bin
ScotApp_354,System Functions
ScotApp_254,Coin dispenser inoperable.\nFill coin dispenser or\nTurn on power or\nRemove dispenser jam.
ScotApp_154,Loading...
ScotApp_1769,Key In Code
ScotApp_1240,CASH
ScotApp_954,Smart Scale Open Failed
ScotApp_854,Five Items
ScotApp_1547,Please refer to the Device Manual to fix the error.
ScotApp_1403,Stop and restart the NCR SelfServ Checkout program. If the error is still present contact your help desk.
ScotApp_545,Restricted Item
ScotApp_1559,Exit
ScotApp_1871,%s %s observed
ScotApp_1612,Card Management
ScotApp_1550,Please refer to the Device Manual to fix the error.
ScotApp_845,Scan Additional Items:
ScotApp_1564,Enter Load Count for %s
ScotApp_1768,Unsupported weight unit.
ScotApp_1272,USERDEFINED14
ScotApp_1546,Please refer to the Device Manual to fix the error.
ScotApp_74,Approve Voids
ScotApp_64,Cancel Selected
ScotApp_54,Cancel
ScotApp_44,44unused
ScotApp_34,34unused
ScotApp_1558,Exit & Save
ScotApp_14,14unused
ScotApp_1870,%s %s expected
ScotApp_1389,Signature Capture Device Error
ScotApp_1611,     Reject bin is Full
ScotApp_94,94unused
ScotApp_84,Load Options
ScotApp_1289,B - C
ScotApp_687,Print Report
ScotApp_587,Signature
ScotApp_487,Down
ScotApp_387,Transport jam
ScotApp_287,Scanner: Invalid tag
ScotApp_1545,Please refer to the Device Manual to fix the error.
ScotApp_1336,Utility
ScotApp_987,Item removed from belt. Return item.
ScotApp_887,Item Removed
ScotApp_555,Other Payment
ScotApp_1610,     Reject bin is Near Full (%s) 
ScotApp_1041,Approve Signature
ScotApp_1691,Cash Management
ScotApp_1809,Coin Recycler Dispenser Errors
ScotApp_1288,A
ScotApp_761,761unused
ScotApp_1193,VERIFIED IDENTITY
ScotApp_561,Put Coupon to Side
ScotApp_461,Remote Approval loading...
ScotApp_361,Lane Closed
ScotApp_261,261unused
ScotApp_961,"Weight Learning Database fault: Check Event Viewer for errors, then touch ""I corrected the problem""."
ScotApp_861,861unused
ScotApp_1876,%s %s observed
ScotApp_740,740unused
ScotApp_640,Existing WLDB Weight Entries
ScotApp_540,540unused
ScotApp_340,Select item from list. Use arrow buttons to scroll up and down.
ScotApp_240,Device Manager general failure
ScotApp_140,Thank You
ScotApp_1105,e=d=0.005kg Max 13.995kg min 0.1kg Nmax 2799
ScotApp_1192,ASSEMBLY FEE
ScotApp_940,Void
ScotApp_840,Item Entry:
ScotApp_1863,"Touch ""Approve"" or ""Void Item"""
ScotApp_1463,Change in Value
ScotApp_1875,%s %s expected
ScotApp_774,Points Earned :
ScotApp_674,"""Tender declined reason: """
ScotApp_780,780unused
ScotApp_474,474unused
ScotApp_374,Printer blackmark error
ScotApp_174,"Cannot find scanned item. It has not been purchased yet, or it has already been cancelled."
ScotApp_1029,Insert Coupon
ScotApp_974,974unused
ScotApp_1679,Note Library Error
ScotApp_1747,Fingerprint Reader Error
ScotApp_1862,Verify item on scanner scale
ScotApp_1603,     Card Dispenser bin is normal
ScotApp_1419,Multi-Pack
ScotApp_1759,Coupon Bin Full
ScotApp_649,Price Embedded
ScotApp_1039,Previous items have EAS tag(s).
ScotApp_849,Quantity Needed
ScotApp_765,765unused
ScotApp_565,Store Log In
ScotApp_1549,Please refer to the Device Manual to fix the error.
ScotApp_1861,PICKLIST
ScotApp_1731,PickList Images Loading...
ScotApp_76,76unused
ScotApp_66,66unused
ScotApp_56,Cancel Payment
ScotApp_46,Help
ScotApp_36,Refunded:
ScotApp_26,26unused
ScotApp_16,%s will be charged to your card.
ScotApp_719,719unused
ScotApp_619,Select <Key-In Tolerance> or <Default> to edit current tolerance.
ScotApp_519,Coupon Too High
ScotApp_419,419unused
ScotApp_319,Pay With Card
ScotApp_219,219unused
ScotApp_119,Cancel All Items
ScotApp_96,96unused
ScotApp_86,86unused
ScotApp_1755,Select From List
ScotApp_1038,Verify Signature
ScotApp_919,"Verify item weight and touch ""Approve & Update Weight,"" or touch ""Approve/No Update""."
ScotApp_1489,Please refer to the Device Manual to fix the error.
ScotApp_1745,Fingerprint device is disconnected.\n\nPlease try again.
ScotApp_1860,Please select from picklist assisted items or look-up item alphabetically.
ScotApp_1268,USERDEFINED10
ScotApp_1008,1008unused
ScotApp_786,Suspended At Lane
ScotApp_686,Yesterday
ScotApp_586,Coupons: %0.0ld/$%0.2lf
ScotApp_486,Up
ScotApp_386,Cassette Removed
ScotApp_286,Scanner: Invalid tag prefix2
ScotApp_186,186unused
ScotApp_1488,Please refer to the Device Manual to fix the error.
ScotApp_986,986unused
ScotApp_886,Item removed from bagging area.\nReturn item.
ScotApp_1393,"Stop and restart the NCR SelfServ Checkout program. If the error persists, contact the help desk."
ScotApp_1867,Camera View Blocked
ScotApp_68,68unused
ScotApp_38,38unused
ScotApp_28,Cancel Purchase
ScotApp_1024,1024unused
ScotApp_760,Swipe your card on the side of this monitor.
ScotApp_660,All currency levels are normal
ScotApp_460,This will complete your purchase.
ScotApp_360,Close Lane
ScotApp_260,260unused
ScotApp_1392,Tri-Light Error
ScotApp_960,"Bag Scale fault: Check Bag Scale or Event Viewer for errors, then touch ""I corrected the problem""."
ScotApp_860,Measurement Needed:
ScotApp_1866,More Popular
ScotApp_1459,Cash Management Report
ScotApp_1239,NONE
ScotApp_1301,Edit Pick List
ScotApp_1749,Processing Fingerprint
ScotApp_1017,Clear backed up items on belt.
ScotApp_1771,Coupon Value Limit
ScotApp_739,739unused
ScotApp_639,Wt.Expected   Wt.Comparison
ScotApp_539,539unused
ScotApp_439,439unused
ScotApp_339,339unused
ScotApp_239,Device Manager unexpected status
ScotApp_1092,Report Content
ScotApp_1851,Do Not Approve  
ScotApp_1238,OTHER PAYMENT
ScotApp_939,Timer expired
ScotApp_839,Cancel Action
ScotApp_1333,Backspace
ScotApp_24,Voided
ScotApp_1016,Backed Up Items on Belt
ScotApp_1615,Touch Dispenser Pickup button to unload
ScotApp_1723,Training Trx
ScotApp_1028,Coupon Threshold Exceeded
ScotApp_1435,Coin/Note Dispenser Error
ScotApp_1698,"Touch ""Condition Corrected""."
ScotApp_1688,Cassette Error
ScotApp_454,454unused
ScotApp_1593,Remove Coins
ScotApp_1642,Note Recycler Error
ScotApp_1015,Backed Up Items
ScotApp_785,785unused
ScotApp_685,Hourly
ScotApp_585,585unused
ScotApp_536,Coin Acceptor
ScotApp_385,385unused
ScotApp_285,Scanner: Invalid tag suffix
ScotApp_185,"Compare the customer's signature with the one on the card."
ScotApp_1224,PRICE NEEDED
ScotApp_985,Place item on belt.
ScotApp_885,Bagging Alert
ScotApp_575,End Cash Tender.  Balance Due.
ScotApp_475,Transaction Suspend
ScotApp_375,Printer time out
ScotApp_1002,No Sale
ScotApp_1888,"Monitor customer transaction for security and touch ""Clear Security""."
ScotApp_910,910unused
ScotApp_1592,"Remove coins from the jammed bin. Tilt bin. Turn the screw to the right until the coin can be removed. Don't use excessive force."
ScotApp_875,Head Cashier ID for Cancel Purchase
ScotApp_1014,Clear backed up items from belt.
ScotApp_1572,Are you sure you want to ignore changes on Coin Management screen?
ScotApp_1790,Credit / Debit Only
ScotApp_1344,Security Manager loaded.
ScotApp_798,798unused
ScotApp_698,698unused
ScotApp_598,Form %d failed to store!
ScotApp_498,Amount Paid:
ScotApp_398,Cassette Inserted
ScotApp_298,298unused
ScotApp_198,User Exits loading...
ScotApp_998,Quantity
ScotApp_898,WTINFO ending...
ScotApp_1416,Check for multi-pack
ScotApp_1431,Void All
ScotApp_1236,Processing Report...
ScotApp_1770,Select from search results.
ScotApp_1000,Not Found
ScotApp_1439,"""Bag/Box"" threshold exceeded"
ScotApp_1217,VOID
ScotApp_759,Swipe your card on the payment device.
ScotApp_659,Currency Low Status:
ScotApp_559,No Coupons
ScotApp_459,A balance will remain for this purchase.
ScotApp_359,System Functions
ScotApp_259,Device Manager ending...
ScotApp_1007,Help requested
ScotApp_1438,"""New Item"" threshold exceeded"
ScotApp_959,Weight Learning Database
ScotApp_859,No
ScotApp_1216,SECURITY
ScotApp_1373,COLLECT GIFT CARD
ScotApp_1005,Visual validation
ScotApp_1655,Dept Sale
ScotApp_1228,SUSPENDED
ScotApp_1725,Security Disabled
ScotApp_1006,Other Tender
ScotApp_496,Quantity Limit
ScotApp_1018,Years old minimum.
ScotApp_1160,"Check if cable is connected to back of PinPad.\n\nIf cable securely fastened, touch ""I corrected the problem"".\n\nIf error remains, shut down and restart terminal."
ScotApp_1073,DESCRIPTION=%s;LANEBUTTONTEXT=%s;LSWND1=%s;LSWND2=%s;LSWND3=%s;DATANEEDEDTYPE=%d;
ScotApp_1424,"To connect your handheld scanner touch ""Connect""."
ScotApp_1202,CLOSED LANE
ScotApp_679,Assistance Reports
ScotApp_1792,Cards Only
ScotApp_1214,RECEIPT
ScotApp_1804,Exit Cards Only Mode
ScotApp_879,879unused
ScotApp_1072,Need Information
ScotApp_1631,Note Validator Error
ScotApp_1148,Security Scale components failure
ScotApp_1244,DEBIT SAVINGS
ScotApp_1004,Verify Item
ScotApp_1282,Need Price for
ScotApp_1071,1071unused
ScotApp_1276,USERDEFINED18
ScotApp_1200,PRICE PROMPT
ScotApp_1639,Coin Recycler Error
ScotApp_1828,\n    - Volume level %d%%
ScotApp_1308,PIN Entered
ScotApp_1417,"If item is a multi-pack, touch ""Assist Mode"" and void it, then scan multi-pack barcode."
ScotApp_1343,Security Manager loading...
ScotApp_779,779unused
ScotApp_1429,<<<Low coins. Please refill.>>>
ScotApp_579,579unused
ScotApp_479,Drop off coupons
ScotApp_379,Cash Acceptor
ScotApp_279,Acknowledge all recorded security issues.
ScotApp_179,179unused
ScotApp_1865,Look up item\nwithout weight
ScotApp_1207,VERIFIED SIGNATURE
ScotApp_1638,"Check Coin Recycler cables and Retry. If error recurs, call for Service.\n\nSafePay Error: %s"
ScotApp_979,Threshold = %d customer requests
ScotApp_707,Previous 7 Days
ScotApp_607,Set Bagging Enforcement
ScotApp_507,Visual Verify Items
ScotApp_307,Other Container
ScotApp_207,207unused
ScotApp_107,Help Coming
ScotApp_1219,AGE RESTRICTED
ScotApp_907,907unused
ScotApp_807,Remove Security Tags
ScotApp_1077,Return items to belt
ScotApp_1428,Change price for item: \n%s
ScotApp_1695,Fix Later
ScotApp_1206,UNDEACTIVATED ITEM
ScotApp_1218,COLLECTION
ScotApp_1782,START TRANSACTION IN AM
ScotApp_1273,USERDEFINED15
ScotApp_1624,Transfer All Notes to Cassette
ScotApp_793,793unused
ScotApp_1059,1059unused
ScotApp_593,NCR SelfServ Checkout SigCap loading...
ScotApp_493,Your receipt will print below the payment device.
ScotApp_393,Journal Printer
ScotApp_293,Request for help
ScotApp_1205,BAG AREA BACKUP
ScotApp_993,Lane Closed
ScotApp_893,DBM loading...
ScotApp_1063,1063unused
ScotApp_1414,This lane is unavailable until power is restored.
ScotApp_1182,COUPON AMOUNT LIMIT
ScotApp_1201,ASSISTED TENDER
ScotApp_1075,Limit\Skip Belt
ScotApp_1348,Lane Closed
ScotApp_1671,Open Note Recycler unit and remove notes from the cassette. Close recycler unit.\nDispense coins from hopper and remove from change cup.
ScotApp_1204,DOCUMENT NUMBER
ScotApp_1284,1284unused
ScotApp_1062,1062unused
ScotApp_1233,OTHER PAYMENT
ScotApp_27,27unused
ScotApp_1074,Approval to skip belt.
ScotApp_1472,Cash Recycler Device not Ready
ScotApp_1026,Cancel Trans.
ScotApp_1061,1061unused
ScotApp_1617,Amount entered exceeds capacity. Re-enter load count for Dispenser Bin. Maximum capacity is %d.
ScotApp_1050,1050unused
ScotApp_744,744unused
ScotApp_1591,Check Cable Connections to the coin dispenser
ScotApp_1130,Note Acceptor Error
ScotApp_1270,USERDEFINED12
ScotApp_1629,Problem with CPU settings or Sysdata parameters.  Please call for Service.\n\nSafePay Error: %s
ScotApp_1820,"Remove item from scale, and press "">0<"" button on scanner."
ScotApp_882,Confirm Suspend.
ScotApp_1440,Note Management
ScotApp_1407,REBOOT
ScotApp_727,727unused
ScotApp_627,Transaction #:
ScotApp_527,527unused
ScotApp_427,Media Low
ScotApp_327,"Device offline, check connections and/or event log:"
ScotApp_227,Card reader invalid card inserted
ScotApp_127,127unused
ScotApp_665,"Select ""Cancel All"" or ""Go Back"" to continue."
ScotApp_1060,PLEASE WAIT...
ScotApp_1616,Enter Load count for Dispenser Bin. The maximum amount you could load is %d.
ScotApp_927,Device Malfunction
ScotApp_827,"Pass item's barcode over pad and place in bagging area."
ScotApp_1540,Please refer to the Device Manual to fix the error.
ScotApp_900,Place item in bagging area.
ScotApp_1277,USERDEFINED19
ScotApp_865,Verify Cardholder
ScotApp_506,506unused
ScotApp_406,406unused
ScotApp_306,No Container
ScotApp_206,Options will be loaded.
ScotApp_106,Help Needed
ScotApp_1209,GIFT CARD LIMIT EXCEEDED
ScotApp_806,Approve Visual Validation Items
ScotApp_1067,1067unused
ScotApp_1418,Maximum weight allowance exceeded.
ScotApp_1473,"Device is not ready. \n\nTurn power on, check Communication cable, or put unit back into cabinet. "
ScotApp_187,187unused
ScotApp_1716,WE:
ScotApp_1190,ENTERED COUPON
ScotApp_1602,     Card Dispenser bin is low (%s)
ScotApp_1149,Receipt Printer Error
ScotApp_1066,1066unused
ScotApp_1614,Dispenser Bin
ScotApp_792,792unused
ScotApp_692,692unused
ScotApp_592,NCR SelfServ Checkout Encryptor loaded.
ScotApp_492,Please take your change.
ScotApp_392,Unknown Items
ScotApp_292,"Can't scan a coupon"
ScotApp_192,192unused
ScotApp_1241,CREDIT
ScotApp_1197,CANCELED TRANSACTION
ScotApp_1548,Please refer to the Device Manual to fix the error.
ScotApp_992,Enter birthday
ScotApp_892,Smart Scale ending...
ScotApp_1053,Wait for cashier to bring paper slip to sign.
ScotApp_1404,"POS server is down or out-of-sync, please shutdown the terminal using switch."
ScotApp_1245,DEBIT CHECKING
ScotApp_1262,USERDEFINED4
ScotApp_1471,Coin Recycler Device Error
ScotApp_1196,"DRIVER'S LICENSE NUMBER"
ScotApp_1052,1052unused
ScotApp_1600,Card Dispenser Status :
ScotApp_1663,bin is empty or jammed
ScotApp_1261,USERDEFINED3
ScotApp_1125,"Refill all coin channels to the top in the coin magazine.\n\nGo into Store Mode, select ""Cash / Paper Status"" and touch the ""Coin Dispenser Refilled"" button."
ScotApp_1183,PRICE PROMPT
ScotApp_1470,Note Recycler Device Error
ScotApp_1195,CSA SUSPENDED
ScotApp_1229,CALLED FOR HELP
ScotApp_1051,Paper Slip Approval
ScotApp_1607,     Reject bin is normal (%s)
ScotApp_1895,Genr Excp
ScotApp_747,747unused
ScotApp_647,N
ScotApp_447,Your frequent shopper account has been activated.
ScotApp_347,Restricted item has been cancelled - age limit not met. Please put item aside.
ScotApp_247,247unused
ScotApp_147,147unused
ScotApp_1260,USERDEFINED2
ScotApp_1619,Suspend
ScotApp_769,Confirm or cancel suspend.
ScotApp_947,New Weight Item
ScotApp_847,Finished Scanning
ScotApp_1477,Please refer to the Device Manual to fix the error.
ScotApp_726,726unused
ScotApp_626,Tolerance:
ScotApp_526,\nWrong PIN Entered.\nSwipe a different card\n   -or-\nPay with cash
ScotApp_426,Lane ##:
ScotApp_326,Birth date does not meet age limit for restricted items.
ScotApp_226,Card reader device inoperable
ScotApp_126,(ddmmyy).
ScotApp_1606,     Reject bin is normal
ScotApp_926,Items not returned to bagging area.
ScotApp_826,"I don't want to\nbag this item"
ScotApp_1267,USERDEFINED9
ScotApp_1618,A note dispenser cassette out or not fully inserted.\n\nInstall or reseat the note cassette until latched.
ScotApp_1181,COUPON THRESHOLD EXCEEDED
ScotApp_205,Copying is complete.
ScotApp_105,Unknown Item
ScotApp_1476,Please refer to the Device Manual to fix the error.
ScotApp_1730,Search
ScotApp_1390,Device not responding
ScotApp_805,Approve Items
ScotApp_1864,Go to lane
ScotApp_1408,ASSIST
ScotApp_1266,USERDEFINED8
ScotApp_1180,NO PRICE MATCH
ScotApp_1208,SOLD IN ASSIST MODE
ScotApp_1475,Please refer to the Device Manual to fix the error.
ScotApp_1397,Attendant
ScotApp_1748,Fingerprint Login Failure
ScotApp_718,718unused
ScotApp_618,Weight Tolerance
ScotApp_518,Insert cash.
ScotApp_1253,PIP LOYALTY
ScotApp_1604,     Card Dispenser bin is normal (%s)
ScotApp_218,Printer near empty
ScotApp_118,Approval Needed
ScotApp_552,"Operator and Password can't be zero leading."
ScotApp_791,Select Payment Type
ScotApp_691,691unused
ScotApp_591,NCR SelfServ Checkout Encryptor loading...
ScotApp_391,Price Needed Items
ScotApp_918,No record of item weight.
ScotApp_1187,DEVICE ERROR
ScotApp_991,Age Check
ScotApp_891,Smart Scale loaded.
ScotApp_1474,Hardware Error. Error Code E%d
ScotApp_1396,Exit Attendant Mode
ScotApp_1252,PIP DEBIT CASH BACK
ScotApp_1732,PickList Images Loaded.
ScotApp_1461,Coins
ScotApp_1166,* Open printer cabinet door.\n* Unlatch and push printer back.\n* Open printer cover to check for jams.\n* Shut printer cover and reload paper.\n* Pull printer carefully forward until it latches into position.
ScotApp_1186,UNEXPECTED DECREASE
ScotApp_1857,  Do not put on the belt
ScotApp_1829,Approve
ScotApp_1670,Coin/Note Recycler Error
ScotApp_1198,ENTERED ACCOUNT NUMBER
ScotApp_1869,Hand In View
ScotApp_1251,PIP DEBIT
ScotApp_1855,Optional
ScotApp_767,Media Level Normal
ScotApp_667,Card swiped. Scan your items and coupons.
ScotApp_567,Enter
ScotApp_467,467unused
ScotApp_367,367unused
ScotApp_267,Security
ScotApp_1460,Notes
ScotApp_1185,BAG BOX THRESHOLD EXCEEDED
ScotApp_1009,Store Mode
ScotApp_867,No
ScotApp_1856,  Do not bag
ScotApp_1677,Check that the Coin Recycler door is closed.
ScotApp_746,746unused
ScotApp_646,Y
ScotApp_1394,Digital Interface Error
ScotApp_446,Suspend Transaction
ScotApp_346,ATM (Cash Back)
ScotApp_246,246unused
ScotApp_146,Please select your payment type.
ScotApp_1501,Please refer to the Device Manual to fix the error.
ScotApp_1609,     Reject bin is Near Full
ScotApp_1194,AUTHORISATION NUMBER
ScotApp_946,Bag/Box approval
ScotApp_846,"Scan items or touch ""Finished Scanning""."
ScotApp_1843,Own Bag
ScotApp_1467,"Use ""Cash/Paper Status"" screen to unload cash."
ScotApp_725,725unused
ScotApp_625,Enter a weight tolerance between <%s> and <%s>.
ScotApp_1381,Processing...
ScotApp_425,425unused
ScotApp_325,Date entered is not a valid date
ScotApp_225,Card reader capture bin inserted
ScotApp_1676,Coin Recycler Door Open
ScotApp_925,925unused
ScotApp_825,Bag Item
ScotApp_1608,     Reject bin is empty
ScotApp_1842,Full Assist
ScotApp_1808,Select item on receipt.
ScotApp_1466,Cash Recycler Status Full
ScotApp_1380,price
ScotApp_1854,Optional
ScotApp_1675,Coin Recycler Error
ScotApp_1597,Loyalty Card
ScotApp_1350,%s\n%s %s added
ScotApp_738,738unused
ScotApp_638,Effective WLDB tolerance info
ScotApp_538,538unused
ScotApp_338,"Type the first three letters of the item's description."
ScotApp_238,\nCash acceptor failed to log inserted cash.\n\nCheck note cassette.
ScotApp_138,Take Card
ScotApp_1170,"* Open printer cover and check for paper jam in the area shown. \n* Remove Paper.\n* Close printer cover and reload paper.\n* If the error remains, reboot terminal."
ScotApp_1841,Please go to Lane for Approval
ScotApp_1740,Verify Bag
ScotApp_938,938unused
ScotApp_838,Customer Agreement
ScotApp_1133,Jam in note acceptor.
ScotApp_1387,"Fatal Software Error Encountered.\nRestart Terminal.\n\nTo Restart Terminal:\n* Turn Supervisor keylock to 'S' -OR- press Supervisor button.\n* Select Reboot Entire System.\n* Call Support and inform them of the error."
ScotApp_1674,"Press reject button to release jammed coins.  If error recurs, a coin jam may be present. Open coin cover and secure.  Remove any jammed coins.  Press reject button to reset.  Release and close coin cover."
ScotApp_1650,(ddmmyy)
ScotApp_690,690unused
ScotApp_590,Device Factory ending...
ScotApp_490,"Scan your items, or touch ""Start"" to begin."
ScotApp_390,Recalled Items
ScotApp_290,290unused
ScotApp_190,Transaction Broker loading...
ScotApp_990,DESCRIPTION=%s;LANEBUTTONTEXT=%s;LSWND1=%s;LSWND2=%s;LSWND3=%s;
ScotApp_890,Smart Scale loading...
ScotApp_1772,Coupon
ScotApp_1661,"Unable to print receipt. Touch ""Other Receipts"" to retry."
ScotApp_1132,Communication error.
ScotApp_1386,Fatal Error
ScotApp_784,Note dispenser inoperable\n* Fill note dispenser or\n* Remove dispenser jam or\n* Adjust purge bin.
ScotApp_684,Today
ScotApp_584,EBT Declined.
ScotApp_484,Signature Needed
ScotApp_384,384unused
ScotApp_284,Scanner: Data lost
ScotApp_1595,Preferred Language
ScotApp_1451,Cashier ID
ScotApp_984,Takeaway Belt loaded.
ScotApp_884,Cancel Suspend
ScotApp_1847,"Item added. Scan next item or touch ""Key In code""."
ScotApp_1660,Select print option
ScotApp_1131,Note cassette is out or not properly inserted.
ScotApp_1385,Select Language
ScotApp_1436,"""Skip bagging"" threshold exceeded"
ScotApp_1049,1049unused
ScotApp_666,666unused
ScotApp_1594,Properly shut down and reboot the terminal.
ScotApp_466,   Scanned Unknown Item
ScotApp_366,Printer knife jam
ScotApp_266,Sec.Agent ending...
ScotApp_966,966unused
ScotApp_1541,Please refer to the Device Manual to fix the error.
ScotApp_1846,"Scan item or touch ""Key In code""."
ScotApp_1667,Note Jam
ScotApp_1689,Note Recycler Error
ScotApp_745,745unused
ScotApp_645,Put scanned item in bagging area again.
ScotApp_1581,Coin Dispenser
ScotApp_445,Cash Benefit
ScotApp_345,345unused
ScotApp_245,Card reader device inoperable
ScotApp_145,145unused
ScotApp_945,Limit\Bag/Box
ScotApp_713,713unused
ScotApp_613,Place item on bag scale.
ScotApp_513,513unused
ScotApp_313,313unused
ScotApp_213,213unused
ScotApp_113,Cancel Items
ScotApp_1573,Touch Load buttons to replenish or touch Acceptor Pickup and Dispenser Pickup buttons to unload.
ScotApp_913,Unexpected item on security scale.
ScotApp_813,"Type PO# / Job Name and touch ""Enter"""
ScotApp_1666,Note Recycler Error
ScotApp_1137,%s Note cassette not installed.
ScotApp_1580,Note Dispenser
ScotApp_758,758unused
ScotApp_658,currency is low
ScotApp_558,Quantity Restricted Item
ScotApp_1653,Amount exceeds capacity. Maximum amount needed is %s. Amount of %s automatically entered.
ScotApp_358,Return to Assist Mode
ScotApp_258,Transaction Broker ending...
ScotApp_158,This item requires store approval. Please continue.
ScotApp_1844,Search
ScotApp_958,Bag Scale
ScotApp_858,Yes
ScotApp_1136,Note reject bin is out or not fully latched.
ScotApp_1587,Are you sure you want to ignore changes on Note Management screen?
ScotApp_1531,Please refer to the Device Manual to fix the error.
ScotApp_1599,%s preference lookup failed.
ScotApp_1652,(yymmdd)
ScotApp_1123,"* DO NOT continue until all jammed notes are removed.\n* Carefully pull note dispenser out of cabinet.\n* Remove jammed notes in top of note dispenser without disturbing belts.\n* Push note dispenser back into the cabinet.\n* Lock door, then touch ""I corrected the problem""."
ScotApp_1342,Select Utility
ScotApp_1332,Space
ScotApp_1586,%s    %s  %s
ScotApp_1444,Remove
ScotApp_1598,Preferences Activated.
ScotApp_1651,(yyyymmdd)
ScotApp_1122,Note may be jammed in exit of note dispenser.\n\nPull note dispenser partially out of cabinet.\n\nRemove any jammed notes in area shown.\nCarefully push note dispenser back into cabinet.
ScotApp_1331,Shift
ScotApp_1585,Bins              Value  Change in Value
ScotApp_1118,Problem dispensing %s notes.\n\n%s notes could not be retrieved from note cassette.\n\nRemove %s note cassette and check condition of notes.
ScotApp_1884,Smart Assist alert
ScotApp_1191,MEASUREMENT NEEDED
ScotApp_1121,Note may be jammed in area shown.\n\nPull note dispenser partially out of cabinet.\n\nRemove jammed notes.\n\nCarefully push note dispenser back into cabinet.
ScotApp_503,503unused
ScotApp_403,403unused
ScotApp_1849,
ScotApp_1330,Item not bagged
ScotApp_1355,Your Balance
ScotApp_1584,Bins              Count  Change in Count
ScotApp_465,%s               %s
ScotApp_365,Printer head jam
ScotApp_265,265unused
ScotApp_965,965unused
ScotApp_633,Signature:
ScotApp_433,433unused
ScotApp_333,Card reader shutter jam error
ScotApp_233,Ensure the note acceptor is installed correctly.\n\nPull handle forward to release and slide note acceptor forward.\n\nPush note acceptor back in until it stops.
ScotApp_133,133unused
ScotApp_1120,A note jam may be present in front of %s note cassette.\n\nRemove %s cassette and look for a note jam in this area.\n\nRemove jammed notes if possible and replace note cassette.
ScotApp_1805,Exit Cash Only Mode
ScotApp_933,Weight Mismatch
ScotApp_833,833unused
ScotApp_1337,Exit SelfServ Checkout
ScotApp_1780,START TRANSACTION
ScotApp_712,712unused
